start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.380000,0.490000,N,north,1.0,0,0,0,-1,mfa_textgrid_phone
0.490000,0.600000,AO1,north,1.0,0,0,1,-1,mfa_textgrid_phone
0.600000,0.720000,R,north,1.0,0,0,2,-1,mfa_textgrid_phone
0.720000,0.950000,TH,north,1.0,0,0,3,-1,mfa_textgrid_phone
1.290000,1.480000,S,south,1.0,1,1,0,-1,mfa_textgrid_phone
1.480000,1.720000,AW1,south,1.0,1,1,1,-1,mfa_textgrid_phone
1.720000,1.940000,TH,south,1.0,1,1,2,-1,mfa_textgrid_phone
2.350000,2.560000,IY1,east,1.0,2,2,0,-1,mfa_textgrid_phone
2.560000,2.720000,S,east,1.0,2,2,1,-1,mfa_textgrid_phone
2.720000,2.870000,T,east,1.0,2,2,2,-1,mfa_textgrid_phone
3.190000,3.240000,AE1,and,1.0,3,3,0,-1,mfa_textgrid_phone
3.240000,3.290000,N,and,1.0,3,3,1,-1,mfa_textgrid_phone
3.290000,3.420000,D,and,1.0,3,3,2,-1,mfa_textgrid_phone
3.420000,3.480000,W,west,1.0,4,3,0,-1,mfa_textgrid_phone
3.480000,3.640000,EH1,west,1.0,4,3,1,-1,mfa_textgrid_phone
3.640000,3.820000,S,west,1.0,4,3,2,-1,mfa_textgrid_phone
3.820000,3.910000,T,west,1.0,4,3,3,-1,mfa_textgrid_phone
4.190000,4.230000,AA1,are,1.0,5,4,0,-1,mfa_textgrid_phone
4.230000,4.300000,R,are,1.0,5,4,1,-1,mfa_textgrid_phone
4.300000,4.470000,M,marked,1.0,6,4,0,-1,mfa_textgrid_phone
4.470000,4.530000,AA1,marked,1.0,6,4,1,-1,mfa_textgrid_phone
4.530000,4.630000,R,marked,1.0,6,4,2,-1,mfa_textgrid_phone
4.630000,4.710000,K,marked,1.0,6,4,3,-1,mfa_textgrid_phone
4.710000,4.800000,T,marked,1.0,6,4,4,-1,mfa_textgrid_phone
4.910000,4.990000,AA1,on,1.0,7,4,0,-1,mfa_textgrid_phone
4.990000,5.050000,N,on,1.0,7,4,1,-1,mfa_textgrid_phone
5.050000,5.090000,DH,the,1.0,8,4,0,-1,mfa_textgrid_phone
5.090000,5.130000,AH1,the,1.0,8,4,1,-1,mfa_textgrid_phone
5.130000,5.270000,F,floor,1.0,9,4,0,-1,mfa_textgrid_phone
5.270000,5.330000,L,floor,1.0,9,4,1,-1,mfa_textgrid_phone
5.330000,5.430000,AO1,floor,1.0,9,4,2,-1,mfa_textgrid_phone
5.430000,5.576875,R,floor,1.0,9,4,3,-1,mfa_textgrid_phone
