start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.450000,0.540000,N,north,1.0,0,0,0,-1,mfa_textgrid_phone
0.540000,0.640000,AO1,north,1.0,0,0,1,-1,mfa_textgrid_phone
0.640000,0.720000,R,north,1.0,0,0,2,-1,mfa_textgrid_phone
0.720000,0.880000,TH,north,1.0,0,0,3,-1,mfa_textgrid_phone
0.880000,1.020000,S,south,1.0,1,0,0,-1,mfa_textgrid_phone
1.020000,1.230000,AW1,south,1.0,1,0,1,-1,mfa_textgrid_phone
1.230000,1.340000,TH,south,1.0,1,0,2,-1,mfa_textgrid_phone
1.400000,1.590000,IY1,east,1.0,2,0,0,-1,mfa_textgrid_phone
1.590000,1.660000,S,east,1.0,2,0,1,-1,mfa_textgrid_phone
1.660000,1.720000,T,east,1.0,2,0,2,-1,mfa_textgrid_phone
1.720000,1.800000,AH0,and,1.0,3,0,0,-1,mfa_textgrid_phone
1.800000,1.830000,N,and,1.0,3,0,1,-1,mfa_textgrid_phone
1.830000,1.900000,D,and,1.0,3,0,2,-1,mfa_textgrid_phone
1.900000,1.960000,W,west,1.0,4,0,0,-1,mfa_textgrid_phone
1.960000,2.080000,EH1,west,1.0,4,0,1,-1,mfa_textgrid_phone
2.080000,2.160000,S,west,1.0,4,0,2,-1,mfa_textgrid_phone
2.160000,2.220000,T,west,1.0,4,0,3,-1,mfa_textgrid_phone
2.260000,2.310000,AA1,are,1.0,5,0,0,-1,mfa_textgrid_phone
2.310000,2.350000,R,are,1.0,5,0,1,-1,mfa_textgrid_phone
2.350000,2.450000,M,marked,1.0,6,0,0,-1,mfa_textgrid_phone
2.450000,2.480000,AA1,marked,1.0,6,0,1,-1,mfa_textgrid_phone
2.480000,2.570000,R,marked,1.0,6,0,2,-1,mfa_textgrid_phone
2.570000,2.620000,K,marked,1.0,6,0,3,-1,mfa_textgrid_phone
2.620000,2.670000,T,marked,1.0,6,0,4,-1,mfa_textgrid_phone
2.670000,2.720000,AA1,on,1.0,7,0,0,-1,mfa_textgrid_phone
2.720000,2.750000,N,on,1.0,7,0,1,-1,mfa_textgrid_phone
2.750000,2.790000,DH,the,1.0,8,0,0,-1,mfa_textgrid_phone
2.790000,2.830000,AH1,the,1.0,8,0,1,-1,mfa_textgrid_phone
2.830000,2.960000,F,floor,1.0,9,0,0,-1,mfa_textgrid_phone
2.960000,3.000000,L,floor,1.0,9,0,1,-1,mfa_textgrid_phone
3.000000,3.100000,AO1,floor,1.0,9,0,2,-1,mfa_textgrid_phone
3.100000,3.230000,R,floor,1.0,9,0,3,-1,mfa_textgrid_phone
