start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.370000,0.460000,07_Aa,colombia,1.0,0,0,0
0.460000,0.520000,22_MBP,colombia,1.0,0,0,0
0.560000,0.640000,03_Ee,colombia,1.0,0,0,0
0.770000,0.840000,07_Aa,has,1.0,1,0,0
1.030000,1.060000,07_Aa,cartagena,1.0,2,0,0
1.210000,1.340000,14_ChJjSh,cartagena,1.0,2,0,0
1.340000,1.440000,03_Ee,cartagena,1.0,2,0,0
1.550000,1.620000,12_Ww-Oo-,with,1.0,3,0,0
1.620000,1.660000,03_Ee,with,1.0,3,0,0
1.770000,1.810000,22_MBP,beautiful,1.0,4,0,0
1.910000,1.980000,11_Oo,beautiful,1.0,4,0,0
2.050000,2.140000,20_FV,beautiful,1.0,4,0,0
2.210000,2.320000,22_MBP,beaches,1.0,5,0,0
2.320000,2.450000,03_Ee,beaches,1.0,5,0,0
2.450000,2.550000,14_ChJjSh,beaches,1.0,5,0,0
2.720000,2.770000,07_Aa,and,1.0,6,0,0
2.880000,2.930000,20_FV,vibrant,1.0,7,0,0
2.930000,3.080000,05_Ay,vibrant,1.0,7,0,0
3.080000,3.150000,22_MBP,vibrant,1.0,7,0,0
3.410000,3.450000,07_Aa,culture,1.0,8,0,0
3.520000,3.650000,14_ChJjSh,culture,1.0,8,0,0
