start,end,pose,word,confidence
0.000000,0.102500,22_MBP,mauritania,1.0
0.101500,0.236500,09_Oh,mauritania,1.0
0.566500,0.701500,06_Eh,mauritania,1.0
0.756500,0.891500,03_Ee,mauritania,1.0
1.981500,2.116500,06_Eh,desert,1.0
2.226500,2.361500,07_Aa,and,1.0
2.551500,2.686500,09_Oh,coast,1.0
3.033800,3.168800,12_Ww-Oo-,want,1.0
3.083800,3.218800,07_Aa,want,1.0
3.281500,3.416500,07_Aa,some,1.0
3.346500,3.451500,22_MBP,some,1.0
3.401500,3.496500,14_ChJjSh,chips,1.0
3.506500,3.641500,03_Ee,chips,1.0
3.602500,3.707500,22_MBP,chips,1.0
