word_index,word,start,end,phrase_index,sentence_index
0,andorra,0.240000,0.820000,0,0
1,is,0.850000,0.980000,0,0
2,the,0.980000,1.140000,0,0
3,only,1.180000,1.480000,0,0
4,country,1.480000,1.930000,0,0
5,in,1.930000,2.020000,0,0
6,the,2.020000,2.090000,0,0
7,world,2.090000,2.480000,0,0
8,where,2.480000,2.600000,0,0
9,the,2.600000,2.690000,0,0
10,most,2.690000,3.000000,0,0
11,common,3.000000,3.370000,0,0
12,surname,3.370000,3.940000,0,0
13,martinez,4.140000,4.910000,1,0
14,is,5.290000,5.430000,2,0
15,also,5.430000,5.740000,2,0
16,the,5.740000,5.850000,2,0
17,name,5.850000,6.170000,2,0
18,of,6.170000,6.280000,2,0
19,a,6.280000,6.320000,2,0
20,town,6.320000,6.760000,2,0
