case_id,transcript,wav,source_dir,text
case_0112_20260711_150114_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000000_00,inputs\transcripts\case_0112_20260711_150114_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000000_00.txt,inputs\wav\case_0112_20260711_150114_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000000_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150114_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000000_00,"Hello there, what can I get for you today?"
case_0113_20260711_150122_822_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000001_00,inputs\transcripts\case_0113_20260711_150122_822_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000001_00.txt,inputs\wav\case_0113_20260711_150122_822_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000001_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150122_822_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000001_00,We've got sandwiches for five dollars and chips for two. What'll it be?
case_0114_20260711_150131_112_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000002_00,inputs\transcripts\case_0114_20260711_150131_112_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000002_00.txt,inputs\wav\case_0114_20260711_150131_112_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000002_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150131_112_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000002_00,"We've got turkey, ham, and veggie. Which one sounds good?"
case_0115_20260711_150140_242_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000003_00,inputs\transcripts\case_0115_20260711_150140_242_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000003_00.txt,inputs\wav\case_0115_20260711_150140_242_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000003_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150140_242_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000003_00,A favor? I'm not sure what you mean.
case_0116_20260711_150146_874_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000004_00,inputs\transcripts\case_0116_20260711_150146_874_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000004_00.txt,inputs\wav\case_0116_20260711_150146_874_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000004_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150146_874_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000004_00,I enjoy the turkey myself. Nice and simple.
case_0117_20260711_150154_861_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000005_00,inputs\transcripts\case_0117_20260711_150154_861_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000005_00.txt,inputs\wav\case_0117_20260711_150154_861_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000005_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150154_861_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000005_00,"Turkey, lettuce, tomato, and mayo. Simple and satisfying."
case_0118_20260711_150204_811_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000006_00,inputs\transcripts\case_0118_20260711_150204_811_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000006_00.txt,inputs\wav\case_0118_20260711_150204_811_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000006_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150204_811_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000006_00,"Check the door, grab your bag, wave goodbye, step outside, and lock up."
case_0119_20260711_150214_959_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000007_00,inputs\transcripts\case_0119_20260711_150214_959_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000007_00.txt,inputs\wav\case_0119_20260711_150214_959_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000007_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150214_959_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000007_00,"Scratch your nose, hum a tune, count your steps, whisper a secret, and touch your lucky charm."
case_0120_20260711_150225_468_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000008_00,inputs\transcripts\case_0120_20260711_150225_468_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000008_00.txt,inputs\wav\case_0120_20260711_150225_468_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000008_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150225_468_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000008_00,"Make sure your wallet's safe, lock the door, and give me a smile."
case_0121_20260711_150235_687_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000009_00,inputs\transcripts\case_0121_20260711_150235_687_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000009_00.txt,inputs\wav\case_0121_20260711_150235_687_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000009_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150235_687_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000009_00,"I close early, restock, and plan next week's specials."
case_0122_20260711_150244_083_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000010_00,inputs\transcripts\case_0122_20260711_150244_083_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000010_00.txt,inputs\wav\case_0122_20260711_150244_083_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000010_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150244_083_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000010_00,"Toss old stuff, organize shelves, wipe down counters. Keeps things fresh and tidy."
case_0123_20260711_150255_461_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000011_00,inputs\transcripts\case_0123_20260711_150255_461_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000011_00.txt,inputs\wav\case_0123_20260711_150255_461_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000011_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150255_461_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000011_00,"Stretch, hydrate, tidy desk, smile at someone, log off."
case_0124_20260711_150304_265_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000012_00,inputs\transcripts\case_0124_20260711_150304_265_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000012_00.txt,inputs\wav\case_0124_20260711_150304_265_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000012_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150304_265_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000012_00,"Check dates, rotate stock, clean shelves, restock chips, and hide the cookies."
case_0125_20260711_150314_183_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000013_00,inputs\transcripts\case_0125_20260711_150314_183_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000013_00.txt,inputs\wav\case_0125_20260711_150314_183_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000013_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150314_183_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000013_00,"Flashlight, first aid kit, water bottles, non-perishable snacks, whistle."
case_0126_20260711_150326_316_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000014_00,inputs\transcripts\case_0126_20260711_150326_316_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000014_00.txt,inputs\wav\case_0126_20260711_150326_316_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000014_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150326_316_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000014_00,"Old towels, plastic containers, coffee grounds for the garden."
case_0127_20260711_150336_208_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000015_00,inputs\transcripts\case_0127_20260711_150336_208_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000015_00.txt,inputs\wav\case_0127_20260711_150336_208_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000015_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150336_208_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000015_00,"Toothbrush, change of clothes, phone charger."
