file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
case_0103_20260629_104510_162_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000103_00,0.0,4.216875,wav,-46.91388199792654,-51.98719108104706,6.376238186740297,22.286565064195027
case_0104_20260629_104517_381_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000104_00,0.0,4.936875,wav,-49.62683451417004,-50.190573120117186,5.603178420984482,19.95827274441873
case_0099_20260629_104429_509_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000099_00,0.0,5.896875,wav,-42.97037870762712,-47.70285207575018,5.520499782469209,26.58649160200156
case_0052_20260629_094550_667_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000051_00,0.0,6.616875,wav,-46.50937618013595,-50.592109617639764,5.342969697597548,20.684783119717686
case_0077_20260629_104024_884_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000076_00,0.0,4.776875,wav,-46.25953272097281,-48.664803202559305,4.90191330238407,20.66905437071247
case_0006_20260629_093822_552_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000005_00,0.0,5.176875,wav,-46.47981645149614,-48.044459118562585,4.748089798732718,13.048464790229952
case_0047_20260629_094501_429_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000046_00,0.0,4.936875,wav,-46.33493326163968,-49.26651442678351,4.681331834575383,18.180420876843048
case_0089_20260629_104253_186_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000089_00,0.0,4.616875,wav,-47.311996922348484,-49.501228376876476,4.57243411455029,22.964351364538054
case_0039_20260629_094402_705_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000038_00,0.0,5.416875,wav,-50.72553188422509,-51.57423026473434,4.4220928955005485,21.658168917933324
case_0080_20260629_104049_772_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000079_00,0.0,3.416875,wav,-45.07736830683479,-48.57985816463347,4.314826050291676,30.091292815909455
case_0065_20260629_103735_824_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000064_00,0.0,4.776875,wav,-44.63918671548117,-46.934535598754884,4.310068123368871,19.231813343958656
case_0025_20260629_094202_889_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000024_00,0.0,3.576875,wav,-45.38491019989525,-46.93031210057876,4.2688361735018265,14.777678826929964
case_0067_20260629_103906_082_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000066_00,0.0,4.216875,wav,-50.61144845971564,-52.678014806798984,4.094249938511009,19.851917255774914
case_0004_20260629_093801_432_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000003_00,0.0,4.056875,wav,-41.89424742149015,-40.938323911031084,4.02656207026115,18.146255149024313
case_0029_20260629_094229_854_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000028_00,0.0,4.856875,wav,-42.34268904320987,-43.05520675295875,4.014079591154665,17.713608232507582
case_0097_20260629_104413_797_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000097_00,0.0,5.096875,wav,-49.29113817401961,-51.05629889909611,3.9388044121623578,20.274758018089123
case_0095_20260629_104354_201_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000095_00,0.0,5.576875,wav,-45.103599630376344,-49.4986798286438,3.9388044121623578,21.518233971116814
case_0106_20260629_104751_112_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000106_00,0.0,4.456875,wav,-50.44396808436099,-50.49352244326943,3.9292660597951126,19.377905983038392
case_0053_20260629_103547_528_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000052_00,0.0,5.816875,wav,-47.20384315936426,-48.12291012780141,3.8916888815270547,20.984809052259546
case_0003_20260629_093754_099_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000002_00,0.0,3.896875,wav,-52.60046073717949,-55.3302129473005,3.8763136304716648,17.147161532747113
case_0005_20260629_093809_845_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000004_00,0.0,6.536875,wav,-45.6372682530581,-45.58818657057626,3.841414072200972,16.55131411773563
case_0001_20260629_093726_076_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000000_00,0.0,2.376875,wav,-52.844582950367645,-55.26339956430289,3.812883003550274,18.88827058181144
case_0098_20260629_104421_809_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000098_00,0.0,4.456875,wav,-47.08949341367713,-48.933827104239626,3.805749799474239,17.93518651740738
case_0079_20260629_104042_251_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000078_00,0.0,4.776875,wav,-46.76025186323222,-49.797243414984806,3.7597027755688446,27.394459874796606
case_0008_20260629_093851_414_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000007_00,0.0,5.576875,wav,-47.36760752688172,-46.857149620056155,3.677398689820141,18.745597051715915
case_0028_20260629_094223_519_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000027_00,0.0,3.416875,wav,-48.38511398940059,-48.68120983668736,3.6679102765395504,17.849813057360535
case_0066_20260629_103857_453_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000065_00,0.0,4.056875,wav,-43.749211052955665,-45.62907284184506,3.647751194832971,16.426015447973406
case_0013_20260629_093937_130_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000012_00,0.0,6.056875,wav,-46.52733085808581,-46.75604092524602,3.567540700955845,15.04552975815007
case_0045_20260629_094447_931_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000044_00,0.0,4.056875,wav,-44.800593634544335,-45.58152076933119,3.509354971492961,18.462576981575886
