index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason,alignment_reason,source_phone_class,mapped_to_observed_speech
0,0.316500,0.384000,0.451500,03_Ee,indonesia's,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
1,0.561500,0.629000,0.696500,09_Oh,indonesia's,0,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
2,0.761500,0.829000,0.896500,03_Ee,indonesia's,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
3,0.894500,0.942000,0.989500,14_ChJjSh,indonesia's,0,0,0,0.820000,streaming_forced_alignment,streaming_forced_alignment_viterbi,sibilant,1
4,1.146500,1.214000,1.281500,07_Aa,satay,1,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
5,1.291500,1.359000,1.426500,06_Eh,satay,1,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
6,1.529000,1.584000,1.639000,05_Ay,is,2,0,0,0.940000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
7,1.620000,1.670000,1.720000,20_FV,flavorful,3,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
8,1.881500,1.949000,2.016500,06_Eh,flavorful,3,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
9,2.796500,2.864000,2.931500,12_Ww-Oo-,want,4,1,1,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
10,2.846500,2.914000,2.981500,07_Aa,want,4,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
11,2.971500,3.039000,3.106500,07_Aa,a,5,1,1,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
12,3.216500,3.284000,3.351500,07_Aa,sandwich,6,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
13,3.381500,3.449000,3.516500,12_Ww-Oo-,sandwich,6,1,1,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
14,3.474500,3.522000,3.569500,14_ChJjSh,sandwich,6,1,1,0.820000,streaming_forced_alignment,streaming_forced_alignment_viterbi,sibilant,1
15,3.521500,3.589000,3.656500,12_Ww-Oo-,with,7,1,1,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
16,3.636500,3.704000,3.771500,03_Ee,with,7,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
17,3.777500,3.830000,3.882500,22_MBP,peanut,8,1,1,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
18,3.831500,3.899000,3.966500,03_Ee,peanut,8,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
19,4.151500,4.219000,4.286500,09_Oh,sauce,9,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
