index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason
0,0.074231,0.119231,0.164231,12_Ww-Oo-,welcome,0,0,0,0.900000,sentence_phrase_active_coverage
1,0.212692,0.257692,0.302692,06_Eh,welcome,0,0,0,0.680000,sentence_phrase_active_coverage
2,0.351154,0.396154,0.441154,07_Aa,welcome,0,0,0,0.680000,sentence_phrase_active_coverage
3,0.452115,0.504615,0.557115,22_MBP,welcome,0,0,0,0.900000,sentence_phrase_active_coverage
4,0.628077,0.673077,0.718077,11_Oo,to,1,0,0,0.680000,sentence_phrase_active_coverage
5,0.766538,0.811538,0.856538,06_Eh,alfie's,2,0,0,0.680000,sentence_phrase_active_coverage
6,0.882500,0.930000,0.977500,20_FV,alfie's,2,0,0,0.900000,sentence_phrase_active_coverage
7,1.043462,1.088462,1.133462,03_Ee,alfie's,2,0,0,0.680000,sentence_phrase_active_coverage
8,1.159423,1.206923,1.254423,20_FV,alfie's,2,0,0,0.900000,sentence_phrase_active_coverage
9,1.282885,1.335385,1.387885,22_MBP,bodega,3,0,0,0.900000,sentence_phrase_active_coverage
10,1.458846,1.503846,1.548846,11_Oo,bodega,3,0,0,0.680000,sentence_phrase_active_coverage
11,1.597308,1.642308,1.687308,03_Ee,bodega,3,0,0,0.680000,sentence_phrase_active_coverage
12,1.735769,1.780769,1.825769,07_Aa,bodega,3,0,0,0.680000,sentence_phrase_active_coverage
13,2.257778,2.302778,2.347778,07_Aa,how,4,1,1,0.680000,sentence_phrase_active_coverage
14,2.463333,2.508333,2.553333,06_Eh,can,5,1,1,0.680000,sentence_phrase_active_coverage
15,2.668889,2.713889,2.758889,07_Aa,i,6,1,1,0.680000,sentence_phrase_active_coverage
16,2.874444,2.919444,2.964444,06_Eh,help,7,1,1,0.680000,sentence_phrase_active_coverage
17,3.042500,3.095000,3.147500,22_MBP,help,7,1,1,0.900000,sentence_phrase_active_coverage
18,3.285556,3.330556,3.375556,12_Ww-Oo-,you,8,1,1,0.900000,sentence_phrase_active_coverage
19,3.491111,3.536111,3.581111,11_Oo,you,8,1,1,0.680000,sentence_phrase_active_coverage
20,3.696667,3.741667,3.786667,07_Aa,today,9,1,1,0.680000,sentence_phrase_active_coverage
21,3.902222,3.947222,3.992222,03_Ee,today,9,1,1,0.680000,sentence_phrase_active_coverage
