index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength
0,12_Ww-Oo-,welcome,0,0,0,0.0227273,0.9
1,06_Eh,welcome,0,0,0,0.0681818,0.68
2,07_Aa,welcome,0,0,0,0.113636,0.68
3,22_MBP,welcome,0,0,0,0.159091,0.9
4,11_Oo,to,1,0,0,0.204545,0.68
5,06_Eh,alfie's,2,0,0,0.25,0.68
6,20_FV,alfie's,2,0,0,0.295455,0.9
7,03_Ee,alfie's,2,0,0,0.340909,0.68
8,20_FV,alfie's,2,0,0,0.386364,0.9
9,22_MBP,bodega,3,0,0,0.431818,0.9
10,11_Oo,bodega,3,0,0,0.477273,0.68
11,03_Ee,bodega,3,0,0,0.522727,0.68
12,07_Aa,bodega,3,0,0,0.568182,0.68
13,07_Aa,how,4,1,1,0.613636,0.68
14,06_Eh,can,5,1,1,0.659091,0.68
15,07_Aa,i,6,1,1,0.704545,0.68
16,06_Eh,help,7,1,1,0.75,0.68
17,22_MBP,help,7,1,1,0.795455,0.9
18,12_Ww-Oo-,you,8,1,1,0.840909,0.9
19,11_Oo,you,8,1,1,0.886364,0.68
20,07_Aa,today,9,1,1,0.931818,0.68
21,03_Ee,today,9,1,1,0.977273,0.68
